Name,Area
Ahuja Towers,Prabhadevi
Lodha Allura,Worli
Sheth Beau Pride,Bandra West
Piramal Mahalaxmi,Mahalakshmi
Planet Godrej,Mahalakshmi
Shapoorji Pallonji Skyraa,Thane
Adani The Views,Ghatkopar East
Prestige Jasdan Classic,Mahalakshmi
Raymond Tenx Habitat,Thane West
Hiranandani Garden,Powai
Godrej Horizon,Wadala
Mahindra Happinest,Kalyan-Bhiwandi Road
Lodha Bellagio,Powai
Birla Niyaara,Worli
Kumar Parasmani,Ghatkopar East
UK Sangfroid,Andheri West
Touchwood Whispering Woods,Andheri West
Mohid Swiz Heights,Andheri West
Tirupati Platinum Tower 7,Andheri West
Bayview Building,Andheri West
Runwal Greens,Mulund
Mahindra Eminente,Goregaon West
Gundecha Gardens,Lalbaug